instance_id,algorithm,mean_distance,std_distance,best_distance,mean_num_routes,min_num_routes,mean_penalized_cost,std_penalized_cost,mean_runtime_sec,mean_converged_iteration,feasible_fleet_rate,mean_reported_minus_eval
instance_n100,V1_prins_split_unconstrained,289991.79150390625,4712.072653194454,282878.41796875,18.0,18,3289991.7915039062,4712.072653194454,1.5412387609481812,99.0,0.0,0.0
instance_n100,V2_fleet_bounded_split,290750.95200195315,5780.705936761285,281844.3291015625,18.0,18,3290750.952001953,5780.705936761284,10.850157284736634,99.0,0.0,0.0
instance_n100,V3_local_search_baldwinian,257035.0568359375,9342.200317861892,242135.2919921875,17.5,17,2757035.0568359373,523984.28325087373,14.822669649124146,12.5,0.0,0.0
instance_n100,V4_lamarckian_writeback,255075.08857421874,10972.521076659063,238651.138671875,17.6,17,2855075.0885742186,511868.6485445997,12.996327877044678,12.0,0.0,0.0
instance_n100,V5_full_solver,271213.17680664064,23352.278945611517,251177.66796875,17.0,17,2271213.176806641,23352.278945611517,11.566488242149353,15.0,0.0,0.0
instance_n100,V6_inter_route_2opt_star,237066.22104492187,6927.9227943706865,225422.00732421875,17.0,17,2237066.221044922,6927.922794370686,17.429733681678773,24.0,0.0,0.0
instance_n20,V1_prins_split_unconstrained,64812.73349609375,2637.692703964185,60895.98828125,4.9,4,64812.73349609375,2637.692703964185,0.346272611618042,99.0,1.0,0.0
instance_n20,V2_fleet_bounded_split,65118.97080078125,2594.7038500120116,58750.8203125,4.9,4,65118.97080078125,2594.7038500120116,0.6792293787002563,99.0,1.0,0.0
instance_n20,V3_local_search_baldwinian,64569.9732421875,2433.0739192543037,58381.8544921875,4.9,4,64569.9732421875,2433.0739192543037,0.9636344671249389,4.0,1.0,0.0
instance_n20,V4_lamarckian_writeback,63833.49384765625,2371.570167833946,58381.8544921875,4.9,4,63833.49384765625,2371.570167833946,0.9403079509735107,36.8,1.0,-0.00029296875
instance_n20,V5_full_solver,62539.46611328125,2383.734433564468,58381.8544921875,4.7,4,62539.46611328125,2383.734433564468,0.8965488910675049,32.5,1.0,0.0
instance_n20,V6_inter_route_2opt_star,61296.24140625,2749.8016276697,58381.8544921875,4.5,4,61296.24140625,2749.8016276697,1.0662246227264405,11.0,1.0,0.0
instance_n50,V1_prins_split_unconstrained,173594.24921875,5108.958483901226,166716.7001953125,11.0,11,3173594.24921875,5108.958483901226,0.7646369695663452,99.0,0.0,0.0
instance_n50,V2_fleet_bounded_split,171680.95310058593,5792.513113176321,160283.00561523438,11.0,11,3171680.953100586,5792.513113176321,3.1667324781417845,99.0,0.0,0.0
instance_n50,V3_local_search_baldwinian,162004.13200683595,4863.64838049905,154719.2939453125,11.0,11,3162004.132006836,4863.64838049905,4.119002938270569,10.0,0.0,0.0
instance_n50,V4_lamarckian_writeback,162004.13200683595,4863.64838049905,154719.2939453125,11.0,11,3162004.132006836,4863.64838049905,3.7033572435379027,10.0,0.0,0.0
instance_n50,V5_full_solver,202862.15234375,0.0,202862.15234375,10.0,10,2202862.15234375,0.0,2.714069890975952,0.0,0.0,0.0
instance_n50,V6_inter_route_2opt_star,187720.08203125,0.0,187720.08203125,10.0,10,2187720.08203125,0.0,3.7927506446838377,10.0,0.0,0.0
